time,100,F,v,Q,,50,F,v,Q,,15,,,,,25,F,v,Q,,300,F,v,Q,,600,F,v,Q,,800,F,v,Q,,1000,F,v,Q
0,,104.17,2.1976,-0.021,,,50,1.0549,0.0018,,,15.07,0.3178,-0.0223,,,26.06,0.5497,0.1012,,,304.44,6.4227,-0.001,,,616.47,13.0057,0.003,,,803.29,16.9471,-0.0067,,,,,
1.5,,104.62,2.2073,-0.0056,,,50.55,1.0664,0.0066,,,14.44,0.3047,0.0134,,,27.02,0.5701,0.0569,,,304.31,6.42,0.0167,,,616.9,13.0147,0.0093,,,806.02,17.0046,0.0005,,,,,
3,,104.8,2.2109,0.0012,,,50.68,1.0693,0.0026,,,14.44,0.3047,-0.0123,,,27.46,0.5794,-0.037,,,304.97,6.4339,0.0222,,,617.97,13.0374,0.0059,,,805.92,17.0025,0.0084,,,,,
4.5,,103.76,2.1891,0.0031,,,50.39,1.0631,-0.0043,,,15.95,0.3366,-0.0842,,,27.69,0.5842,0.0158,,,307.64,6.4902,0.0183,,,619.5,13.0696,-0.004,,,806.76,17.0203,0.01,,,,,
6,,103.72,2.1883,0.0144,,,50.13,1.0576,0.0038,,,18.08,0.3815,0.016,,,27.69,0.5841,0.0151,,,309.92,6.5384,0.0142,,,621.3,13.1077,-0.008,,,807.08,17.0271,0.0072,,,,,
7.5,,103.94,2.1927,0.0259,,,50.24,1.0599,0.0026,,,18.42,0.3886,0.0249,,,26.69,0.563,0.0099,,,310.81,6.5571,0.0094,,,623.94,13.1633,-0.0058,,,807.3,17.0317,0.0008,,,,,
9,,104.08,2.1957,0.0245,,,50.78,1.0714,-0.0022,,,17.28,0.3646,0.056,,,25.4,0.5359,-0.0268,,,312.39,6.5906,0.0036,,,624.63,13.1779,0.0039,,,810.14,17.0916,-0.0056,,,,,
10.5,,103.97,2.1935,0.0147,,,51.17,1.0796,-0.009,,,16.56,0.3494,-0.0087,,,24.8,0.5231,-0.0264,,,306.94,6.4755,-0.0069,,,621.4,13.1098,0.0173,,,819.71,17.2935,-0.0059,,,,,
12,,103.53,2.1841,0.0051,,,51,1.0759,-0.0115,,,16.04,0.3383,-0.0141,,,24.89,0.5251,0.051,,,303.18,6.3963,-0.018,,,616.49,13.0062,0.0231,,,816.23,17.22,-0.0102,,,,,
13.5,,103.7,2.1878,-0.0042,,,50.64,1.0684,-0.0069,,,14.87,0.3138,-0.0004,,,25.09,0.5293,0.0049,,,300.57,6.3411,-0.0238,,,613.82,12.9497,0.0178,,,816.36,17.2227,-0.0121,,,,,
15,,105.1,2.2173,-0.0185,,,49.89,1.0526,0.0048,,,14.43,0.3044,0.0623,,,24.95,0.5265,0.0119,,,298.79,6.3036,-0.0168,,,611.17,12.8939,0.0082,,,817.19,17.2402,-0.0142,,,,,
16.5,,106.84,2.2539,-0.0288,,,48.92,1.032,0.0184,,,15.06,0.3177,-0.0619,,,24.79,0.5231,-0.0061,,,296.36,6.2522,-0.0023,,,609.6,12.8607,-0.0037,,,817.77,17.2526,-0.0112,,,,,
18,,106.66,2.2502,-0.0377,,,48.79,1.0293,0.013,,,17.32,0.3653,-0.0267,,,24.28,0.5122,-0.0704,,,294.43,6.2117,0.0071,,,609.07,12.8496,-0.0051,,,818.78,17.2739,-0.001,,,,,
19.5,,105.9,2.2342,-0.0197,,,48.79,1.0294,-0.0013,,,17.6,0.3714,-0.0423,,,23.78,0.5016,-0.0335,,,293.56,6.1933,0.0106,,,608.45,12.8366,-0.0071,,,819.75,17.2943,0.0105,,,,,
21,,105.77,2.2314,0.0085,,,48.76,1.0288,-0.0063,,,15.61,0.3292,-0.0889,,,23.95,0.5053,0.0334,,,293.45,6.1909,0.012,,,608.18,12.8308,-0.0031,,,822.3,17.3482,0.0137,,,,,
22.5,,105.96,2.2355,0.0296,,,48.59,1.0252,-0.0098,,,14.72,0.3106,0.0058,,,23.74,0.5008,0.0248,,,296.13,6.2474,0.0073,,,608.62,12.8401,0.0004,,,822.97,17.3622,0.0088,,,,,
24,,105.81,2.2323,0.0058,,,48.34,1.0199,0.0015,,,14.74,0.3109,0.067,,,23.64,0.4988,0.0128,,,297.22,6.2705,-0.0007,,,607.09,12.8079,-0.0009,,,822.82,17.3591,-0.0003,,,,,
25.5,,105.12,2.2177,0.0037,,,47.78,1.0081,0.0053,,,14.71,0.3104,0.0324,,,23.92,0.5046,0.0008,,,297.51,6.2767,-0.0058,,,605.52,12.7747,-0.0028,,,824.4,17.3924,-0.0042,,,,,
27,,104.04,2.195,-0.0037,,,47.29,0.9976,-0.0019,,,14.47,0.3052,0.0221,,,24.47,0.5162,-0.0173,,,297.27,6.2716,-0.0073,,,604.42,12.7515,-0.0021,,,828.27,17.4741,-0.0001,,,,,
28.5,,103.17,2.1766,-0.001,,,47.26,0.997,-0.0006,,,14.21,0.2998,0.0256,,,25.3,0.5338,0.0194,,,296.8,6.2617,-0.0053,,,603.94,12.7413,-0.0052,,,837.31,17.6648,0.0052,,,,,
30,,103.08,2.1746,0.0041,,,47.52,1.0025,-0.0051,,,14.67,0.3094,-0.1798,,,25.31,0.5339,0.0114,,,298.25,6.2922,0.0021,,,604.67,12.7568,-0.0081,,,844.12,17.8084,0.0081,,,,,
31.5,,103.68,2.1874,0.0086,,,48.06,1.0139,-0.0088,,,19.66,0.4147,0.041,,,25.27,0.5332,0.0045,,,299.79,6.3248,0.0073,,,606.48,12.795,-0.0052,,,845.38,17.8351,0.0033,,,,,
33,,104.33,2.2011,0.0109,,,48.82,1.03,-0.0033,,,19.57,0.4129,0.0168,,,25.41,0.536,-0.0067,,,300.05,6.3301,0.0106,,,609.72,12.8634,-0.0002,,,843.53,17.7961,-0.0033,,,,,
34.5,,104.61,2.2069,0.0145,,,49.43,1.0429,0.0061,,,16.89,0.3562,-0.0121,,,25.23,0.5324,-0.0948,,,298.5,6.2975,0.0037,,,612.64,12.9249,0.0083,,,842.39,17.7719,-0.0124,,,,,
36,,103.91,2.1921,0.0109,,,49.92,1.0532,0.017,,,15.86,0.3346,0.0459,,,25.27,0.533,-0.012,,,297.26,6.2712,0,,,613.31,12.939,0.0125,,,826.61,17.439,-0.0158,,,,,
37.5,,101.85,2.1488,0.002,,,50.31,1.0613,0.0095,,,15.14,0.3195,0.0878,,,24.77,0.5225,0.0579,,,296.29,6.2508,-0.0069,,,611.95,12.9104,0.0078,,,821.15,17.3239,-0.0089,,,,,
39,,100.38,2.1177,-0.0068,,,50.45,1.0643,-0.0022,,,15.26,0.322,0.0182,,,24.29,0.5124,0.0178,,,296.42,6.2535,-0.0094,,,608.55,12.8386,-0.0024,,,815.66,17.2079,-0.0031,,,,,
40.5,,100.56,2.1215,-0.0029,,,50.36,1.0624,-0.0172,,,16.59,0.3501,0.0522,,,24.79,0.5231,0.0359,,,298.42,6.2959,-0.0102,,,595.71,12.5677,-0.012,,,811.16,17.1131,0.0081,,,,,
42,,101.71,2.1458,0.0013,,,49.98,1.0544,-0.0142,,,17.16,0.362,0.0336,,,25.38,0.5355,-0.0149,,,299.99,6.3289,-0.0078,,,587.71,12.3989,-0.0157,,,809.33,17.0745,0.0143,,,,,
43.5,,103.81,2.1901,0.0047,,,49.49,1.0441,-0.0044,,,18.63,0.3931,-0.0729,,,26.18,0.5523,0.0084,,,299.12,6.3106,-0.004,,,583.24,12.3046,-0.0121,,,808.9,17.0653,0.0085,,,,,
45,,105.46,2.2249,0.0002,,,49.04,1.0347,0.0001,,,19.63,0.4142,-0.0561,,,26.15,0.5517,0.0201,,,299.28,6.314,-0.0023,,,582.03,12.2791,-0.0022,,,808.08,17.048,0.0055,,,,,
46.5,,105.96,2.2355,-0.0028,,,48.62,1.0256,0.0024,,,16.98,0.3581,-0.1579,,,25.38,0.5355,0.0014,,,300.95,6.3492,-0.0005,,,584.81,12.3377,0.007,,,807.9,17.0443,0.0009,,,,,
48,,105.8,2.2321,-0.0022,,,48.41,1.0213,-0.0117,,,14.81,0.3124,-0.0208,,,25.01,0.5276,-0.0027,,,304.55,6.4252,0.0044,,,591.58,12.4806,0.0098,,,807.6,17.0379,0.0035,,,,,
49.5,,105.28,2.2211,-0.0001,,,48.68,1.0271,-0.0074,,,13.9,0.2932,0.0648,,,24.84,0.524,-0.0738,,,304.27,6.4192,0.0094,,,598.6,12.6288,0.0008,,,806.72,17.0195,0.0073,,,,,
51,,104.63,2.2074,0.0041,,,49.46,1.0435,0.0106,,,14.82,0.3127,0.0914,,,25.42,0.5362,-0.0124,,,303.62,6.4055,0.0055,,,604.27,12.7483,-0.0053,,,805.02,16.9836,0.0018,,,,,
52.5,,104.68,2.2085,0.0037,,,50.43,1.0639,0.0122,,,14.22,0.3,-0.0538,,,25.61,0.5403,0.0588,,,301.91,6.3694,-0.0036,,,610.13,12.872,-0.0073,,,802.79,16.9364,-0.0056,,,,,
