time,Q_DCM_Slug,Q_Water_Slug,Q_const_disorder
0,0.0196,0.0064,-0.0098
1.5,0.0183,0.011,0.0091
3,0.006,-0.0022,0.0214
4.5,-0.0058,-0.0147,0.0178
6,-0.0074,-0.0042,0.0092
7.5,-0.0052,0.0067,0.011
9,-0.0081,0.0114,0.0183
10.5,0.0001,0.0039,0.0333
12,0.0161,-0.0002,0.0485
13.5,0.1531,0.1677,0.0459
15,0.4386,0.5812,0.0103
16.5,0.4677,0.5903,-0.0197
18,0.3152,0.406,0.1014
19.5,0.0638,0.1342,0.3944
21,-0.2846,-0.245,0.4677
22.5,-0.7254,-0.8185,0.356
24,-0.9374,-1.5486,0.1857
25.5,-0.3908,-1.0952,-0.0004
27,-0.0273,-0.1095,-0.1821
28.5,-0.0031,-0.0018,-0.2655
30,-0.007,0.0169,-0.1446
31.5,-0.0026,0.0262,0.0243
33,0.0055,0.0133,0.1292
34.5,0.018,-0.0125,0.1605
36,0.0228,-0.0315,0.0825
37.5,0.0213,-0.0196,-0.0625
39,0.0102,0.0032,-0.1608
40.5,-0.0069,0.0137,-0.1017
42,-0.0197,0.0063,0.0314
43.5,-0.0185,-0.0082,0.0909
45,,,0.0794
46.5,,,0.0692
48,,,0.0591
49.5,,,0.0064
51,,,-0.0851
52.5,,,-0.0317
54,,,0.225
55.5,,,0.3552
57,,,0.3399
58.5,,,0.2189
60,,,0.0124
61.5,,,-0.2735
63,,,-0.6495
64.5,,,-0.9596
66,,,-0.5881
67.5,,,-0.0095
69,,,0.0506
70.5,,,0.1311
72,,,0.2194
73.5,,,0.1958
75,,,0.0676
76.5,,,-0.0673
78,,,-0.0063
79.5,,,0.2695
81,,,0.351
82.5,,,0.2077
84,,,-0.064
85.5,,,-0.3714
87,,,-0.4809
88.5,,,-0.3173
90,,,-0.1961
91.5,,,-0.1861
93,,,-0.0929
94.5,,,0.1041
96,,,0.1255
97.5,,,-0.0241
99,,,-0.1663
100.5,,,-0.192
102,,,-0.1258
103.5,,,0.0131
105,,,0.2099
106.5,,,0.2665
108,,,0.1545
109.5,,,-0.0482
111,,,-0.219
112.5,,,-0.1485
114,,,0.1152
115.5,,,0.2093
117,,,0.1268
118.5,,,-0.0005
120,,,-0.1071
121.5,,,-0.1987
123,,,-0.2599
124.5,,,-0.1855
126,,,0.0285
127.5,,,0.1597
129,,,0.1367
130.5,,,0.0562
132,,,0.013
133.5,,,-0.0282
135,,,-0.1456
136.5,,,-0.216
138,,,0.0088
139.5,,,0.232
141,,,0.2222
142.5,,,0.1452
144,,,0.1299
145.5,,,0.1132
147,,,0.0124
148.5,,,-0.1885
150,,,-0.397
151.5,,,-0.3257
153,,,-0.0368
154.5,,,0.0474
156,,,-0.0171
157.5,,,-0.0675
159,,,0.0074
160.5,,,0.1286
162,,,0.1528
163.5,,,0.0861
165,,,0.0027
166.5,,,-0.015
168,,,0.0821
169.5,,,0.1944
171,,,0.1959
172.5,,,0.1109
174,,,-0.025
175.5,,,-0.1934
177,,,-0.3406
178.5,,,-0.276
180,,,-0.0149
181.5,,,0.0379
183,,,-0.2438
184.5,,,-0.7881
186,,,-1.5337
187.5,,,-0.1548
189,,,0.7243
190.5,,,0.5889
192,,,0.3667
193.5,,,0.1544
195,,,-0.0418
196.5,,,-0.199
198,,,-0.3449
199.5,,,-0.6352
201,,,-1.1882
202.5,,,-1.1405
204,,,-0.2353
205.5,,,-0.0306
207,,,-0.0169
208.5,,,-0.0122
210,,,-0.0057
211.5,,,0.0022
213,,,-0.0036
214.5,,,-0.0096
216,,,-0.0099
217.5,,,0.0173
219,,,0.0412
220.5,,,0.0393
222,,,0.0235
223.5,,,0.0078
225,,,0.0037
226.5,,,0.0014
228,,,-0.0175
229.5,,,-0.0393
231,,,-0.0392
232.5,,,-0.0199
234,,,0.0074
235.5,,,0.0237
237,,,0.0176
238.5,,,0.0053
240,,,0.0057
