rate,q,time
50.51734754,0.0154,0
50.79906149,0.0362,1.5
51.0505918,0.0267,3
51.0505918,0.0154,4.5
51.01034695,0.0062,6
49.96398086,-0.0018,7.5
48.91761477,-0.0066,9
48.60571718,-0.0065,10.5
48.72645173,-0.0059,12
49.31000205,-0.0054,13.5
49.72251176,-0.0038,15
49.7526954,-0.0108,16.5
49.71245055,-0.0134,18
49.61183842,-0.0138,19.5
49.79294025,0.0041,21
50.22557238,0.0082,22.5
50.73869422,-0.0017,24
51.00028574,-0.0124,25.5
50.71857179,-0.0304,27
50.04447056,-0.0041,28.5
49.34018569,0.0096,30
49.08865538,0.0077,31.5
49.4307366,0.0054,33
50.19538875,-0.0036,34.5
50.93991846,0.0002,36
51.09083665,0.0194,37.5
50.76887785,0.0276,39
49.9136748,0.0227,40.5
48.92767598,0.0122,42
48.40449294,0.0093,43.5
48.40449294,-0.0019,45
49.00816568,-0.0187,46.5
50.55759239,-0.0282,48
51.04053059,-0.012,49.5
51.20150999,0.0093,51
50.94997968,0.0191,52.5
50.67832694,0.0148,54
50.71857179,-0.0004,55.5
51.01034695,-0.0069,57
51.3725506,-0.0073,58.5
51.66432576,-0.0002,60
51.67438697,0.0095,61.5
51.36248939,-0.001,63
51.09083665,-0.0143,64.5
50.90973483,-0.0369,66
51.10089786,-0.0295,67.5
51.42285666,-0.009,69
51.32224454,0.0106,70.5
51.01034695,0.0081,72
50.57771482,0.0069,73.5
50.19538875,0.003,75
49.78287904,-0.002,76.5
49.4307366,0.003,78
49.23957357,0.0234,79.5
49.05847174,0.0317,81
48.97798204,0.0312,82.5
48.92767598,0.0042,84
48.67614567,-0.0164,85.5
48.10265656,-0.0289,87
47.72033049,-0.0297,88.5
47.71026928,-0.0094,90
48.08253414,0.0118,91.5
48.54534991,0.0051,93
48.58559476,-0.0107,94.5
48.65602325,-0.0209,96
49.1892675,-0.0155,97.5
50.18532753,-0.012,99
51.02040816,-0.0119,100.5
51.82530516,0.005,102
51.25181605,0.0211,103.5
50.82924513,0.0169,105
49.63196085,0.0004,106.5
49.65208327,0.0057,108
50.21551117,0.0107,109.5
50.98016331,0.0203,111
51.42285666,0.0176,112.5
51.44297908,0.0179,114
51.11095908,-0.007,115.5
50.51734754,-0.0153,117
50.11489905,-0.0286,118.5
49.1892675,-0.027,120
48.26363596,-0.0164,121.5
48.35418687,-0.0025,123
49.49110388,0.0085,124.5
50.78900028,0.017,126
51.33230575,0.0087,127.5
51.70457061,-0.0094,129
51.50334636,-0.0207,130.5
51.1310815,0.003,132
50.0746542,-0.0026,133.5
49.53134873,-0.0112,135
49.47098145,-0.0144,136.5
49.60177721,0.0088,138
49.92373601,0.0271,139.5
50.25575602,0.0223,141
50.44691906,0.0066,142.5
50.37649057,-0.004,144
49.88349116,-0.0085,145.5
48.80694143,-0.006,147
48.23345232,-0.0062,148.5
48.62583961,-0.0026,150
48.95785962,0.0015,151.5
49.77281782,-0.0004,153
50.84936755,-0.0117,154.5
51.20150999,-0.0214,156
50.98016331,-0.0052,157.5
50.29600087,0.0033,159
49.7526954,0.0122,160.5
49.62189964,0.0155,162
49.58165479,0.0123,163.5
49.63196085,0.0074,165
49.65208327,-0.0103,166.5
49.58165479,-0.0124,168
49.49110388,-0.0195,169.5
49.27981842,-0.0218,171
49.39049175,-0.0194,172.5
49.8331851,-0.0108,174
50.40667421,0.0185,175.5
50.65820452,0.0335,177
50.43685784,0.0341,178.5
50.16520511,0.0231,180
49.56153236,0.0316,181.5
48.71639052,0.0199,183
47.65996322,0.0155,184.5
46.50292379,-0.0086,186
45.34588436,-0.0421,187.5
44.05804917,-0.0756,189
172.9119966,-0.0354,190.5
156.3613022,0.0048,192
146.4711304,0.0195,193.5
148.3626383,0.0552,195
149.107168,0.0163,196.5
148.7952704,0.0063,198
147.6985983,-0.0035,199.5
147.1754152,-0.0045,201
146.8635176,0.0012,202.5
146.0384982,0.0112,204
144.5091939,0.0155,205.5
142.9396448,0.0061,207
142.1850539,-0.0114,208.5
142.7484818,-0.0222,210
144.3783982,-0.0166,211.5
147.2257213,-0.0043,213
147.8998225,0.0037,214.5
147.8193328,0.0074,216
147.5577413,0.0066,217.5
147.5879249,0.0045,219
147.7489043,0.0022,220.5
147.1251092,0.0023,222
146.5616813,0.0038,223.5
145.7869679,0.0039,225
145.3845194,0.0042,226.5
145.4448867,0.0017,228
147.9601898,0,229.5
148.583985,-0.0068,231
148.3123322,-0.0129,232.5
147.8495165,-0.0128,234
148.4230056,-0.0089,235.5
