time,Sensor1,Flowrate,v,Q,Lambda,,Sensor2,Flowrate,v,Q,Lambda
0,,400.72,8.5078,0.0019,Keep,,,406.3,8.6264,0.0027,Keep
1.5,,400.69,8.5072,0.0032,Keep,,,404.64,8.5911,-0.0007,Keep
3,,401.45,8.5233,0.0035,Keep,,,404.2,8.5818,-0.0029,Keep
4.5,,404.15,8.5806,0.0065,Keep,,,405.84,8.6165,-0.003,Keep
6,,399.93,8.4911,0.0089,Keep,,,408.55,8.674,-0.0021,Keep
7.5,,397.59,8.4414,0.0043,Keep,,,413.03,8.7693,-0.0036,Keep
9,,397.41,8.4376,-0.0036,Keep,,,414.84,8.8077,-0.0037,Keep
10.5,,396.39,8.4158,-0.007,Keep,,,412.86,8.7655,-0.0014,Keep
12,,396.04,8.4084,-0.001,Keep,,,409.65,8.6974,0.0009,Keep
13.5,,394.97,8.3857,0.0009,Keep,,,407.85,8.6591,0.0033,Keep
15,,393.9,8.3631,0.0071,Keep,,,406.88,8.6386,0.0029,Keep
16.5,,392.85,8.3408,0.0095,Keep,,,407.28,8.6472,0.0034,Keep
18,,392.2,8.3271,0.0034,Keep,,,405.78,8.6154,0.0034,Keep
19.5,,392.42,8.3317,-0.0031,Keep,,,402.86,8.5532,0.001,Keep
21,,393.12,8.3465,-0.007,Keep,,,401.19,8.5179,-0.001,Keep
22.5,,394.22,8.3698,-0.0053,Keep,,,399.45,8.4808,0.0025,Keep
24,,395.62,8.3995,-0.0028,Keep,,,397.61,8.4418,0.0051,Keep
25.5,,395.79,8.4031,-0.0011,Keep,,,395.9,8.4056,0.0046,Keep
27,,394.84,8.3829,-0.0013,Keep,,,396.72,8.423,0.0039,Keep
28.5,,395.21,8.3908,-0.0015,Keep,,,397.92,8.4484,0.0039,Keep
30,,397.59,8.4415,-0.0006,Keep,,,396.52,8.4186,-0.0003,Keep
31.5,,399.79,8.4881,0.0013,Keep,,,394.94,8.385,-0.0063,Keep
33,,397.56,8.4407,-0.0043,Keep,,,394.25,8.3704,-0.0058,Keep
34.5,,396.99,8.4286,-0.0104,Keep,,,394.3,8.3715,-0.0018,Keep
36,,397.71,8.444,-0.0054,Keep,,,394.35,8.3727,0.0037,Keep
37.5,,397.75,8.4447,0.0084,Keep,,,394.02,8.3655,0.0051,Keep
39,,397.12,8.4314,0.0097,Keep,,,393.63,8.3573,0.0024,Keep
40.5,,395.89,8.4053,0.0036,Keep,,,393.7,8.3588,-0.0002,Keep
42,,394.62,8.3783,0.0014,Keep,,,393.87,8.3624,-0.0014,Keep
43.5,,396,8.4077,-0.0079,Keep,,,393.87,8.3625,0,Keep
45,,396.43,8.4167,-0.0129,Keep,,,394.71,8.3803,0.0014,Keep
46.5,,394.89,8.384,-0.009,Keep,,,396.43,8.4167,0.0019,Keep
48,,392.85,8.3408,-0.0035,Keep,,,398.15,8.4533,0.003,Keep
49.5,,392.88,8.3413,0.0048,Keep,,,398.31,8.4566,0.0036,Keep
51,,393.31,8.3506,0.0087,Keep,,,397.43,8.4379,0.0031,Keep
52.5,,393.52,8.355,0.0099,Keep,,,396.88,8.4263,0.003,Keep
54,,392.22,8.3275,0.0069,Keep,,,396.82,8.4251,0.0014,Keep
55.5,,392.24,8.3277,0.0026,Keep,,,396.39,8.4158,-0.0018,Keep
57,,392.64,8.3363,0.0027,Keep,,,395.27,8.3921,-0.0061,Keep
58.5,,394.56,8.3771,0.0061,Keep,,,394.47,8.3752,-0.0073,Keep
60,,394.41,8.3738,-0.0007,Keep,,,394.09,8.3671,-0.0026,Keep
61.5,,394.09,8.3671,0.0019,Keep,,,393.55,8.3557,0.0035,Keep
63,,393.08,8.3457,0.0046,Keep,,,392.89,8.3416,0.0038,Keep
64.5,,391.74,8.3172,0.0027,Keep,,,392.57,8.3347,0.0012,Keep
66,,390.54,8.2918,0.0029,Keep,,,393.68,8.3584,-0.0012,Keep
67.5,,391.07,8.303,0.005,Keep,,,395,8.3864,0.0022,Keep
69,,391.15,8.3046,0.0021,Keep,,,395.27,8.3921,0.0079,Keep
70.5,,395.71,8.4014,-0.0032,Keep,,,394.76,8.3813,0.009,Keep
72,,393.96,8.3643,-0.0063,Keep,,,395.24,8.3915,0.0024,Keep
73.5,,392.04,8.3235,-0.0039,Keep,,,397.11,8.4312,-0.0038,Keep
75,,390.98,8.3011,-0.0008,Keep,,,398.34,8.4573,-0.0056,Keep
76.5,,391.71,8.3166,-0.0004,Keep,,,398.73,8.4657,-0.0055,Keep
78,,394.74,8.3809,-0.0022,Keep,,,399.01,8.4716,-0.0045,Keep
79.5,,396.04,8.4085,-0.0016,Keep,,,399.78,8.4879,-0.0022,Keep
81,,398.45,8.4596,0.0035,Keep,,,400.82,8.5101,0.0016,Keep
82.5,,399.5,8.4821,0.0101,Keep,,,401.26,8.5192,0.0032,Keep
84,,397.34,8.4361,0.0114,Keep,,,401.3,8.5202,0.0021,Keep
85.5,,397.15,8.4321,0.0087,Keep,,,401.56,8.5257,0.0006,Keep
87,,397.83,8.4465,0.0049,Keep,,,402.18,8.5388,0.0019,Keep
88.5,,398.82,8.4675,0.0011,Keep,,,400.44,8.5019,0.0018,Keep
90,,402.37,8.5429,0.001,Keep,,,398.45,8.4597,-0.0002,Keep
91.5,,402.02,8.5355,0.0047,Keep,,,397.94,8.4488,-0.0022,Keep
93,,399.98,8.4922,0.0077,Keep,,,398.45,8.4597,-0.0032,Keep
94.5,,398.48,8.4603,0.0075,Keep,,,399.12,8.4739,-0.0017,Keep
96,,398.23,8.455,0.0074,Keep,,,398.93,8.4698,-0.0009,Keep
97.5,,398.27,8.4559,0.0133,Keep,,,398.51,8.461,-0.0001,Keep
99,,397.61,8.4418,0.0739,Discard,,,398.65,8.464,0.0011,Keep
100.5,,397.39,8.4371,0.1847,Discard,,,400.04,8.4933,0.0033,Keep
102,,397.36,8.4366,0.2079,Discard,,,399.6,8.4841,0.0028,Keep
103.5,,398.08,8.4519,0.1116,Discard,,,397.41,8.4376,-0.002,Keep
105,,395.03,8.387,-0.0635,Discard,,,397.21,8.4333,-0.0074,Keep
106.5,,395.76,8.4025,-0.2483,Discard,,,399.81,8.4886,-0.0104,Keep
108,,397,8.4288,-0.3082,Discard,,,401.37,8.5217,-0.0088,Keep
109.5,,399.71,8.4865,-0.171,Discard,,,402.07,8.5364,-0.0038,Keep
111,,401.09,8.5158,-0.0323,Wait,,,401.74,8.5296,0.0008,Keep
112.5,,399.64,8.4849,0.0033,Wait,,,401.14,8.5167,0.0028,Keep
114,,400.75,8.5086,0.0105,Wait,,,401.33,8.5209,0.0019,Keep
115.5,,401.51,8.5247,0.0113,Wait,,,401.11,8.5162,0.0005,Keep
117,,401.51,8.5247,0.0066,Keep,,,400.21,8.497,-0.002,Keep
118.5,,400.72,8.5079,-0.0076,Keep,,,399.52,8.4823,-0.0043,Keep
